
time 00h 06m 52s, episodes 321, frames 81000, mean epr 1.32, run loss 0.61
time 00h 06m 56s, episodes 325, frames 82000, mean epr 1.29, run loss 0.48
time 00h 06m 57s, episodes 325, frames 82000, mean epr 1.29, run loss 0.48
time 00h 07m 02s, episodes 329, frames 83000, mean epr 1.27, run loss 0.08
time 00h 07m 07s, episodes 334, frames 84000, mean epr 1.26, run loss -0.33
time 00h 07m 12s, episodes 338, frames 85000, mean epr 1.26, run loss -0.23
time 00h 07m 18s, episodes 341, frames 86000, mean epr 1.25, run loss -0.51
time 00h 07m 23s, episodes 346, frames 87000, mean epr 1.23, run loss -0.62
time 00h 07m 28s, episodes 350, frames 88000, mean epr 1.22, run loss -0.43
time 00h 07m 33s, episodes 353, frames 89000, mean epr 1.23, run loss -0.22
time 00h 07m 39s, episodes 357, frames 90000, mean epr 1.22, run loss 0.25
time 00h 07m 44s, episodes 361, frames 91000, mean epr 1.21, run loss 0.10
time 00h 07m 50s, episodes 367, frames 92000, mean epr 1.24, run loss -0.03
time 00h 07m 54s, episodes 370, frames 93000, mean epr 1.25, run loss -0.00
time 00h 08m 00s, episodes 373, frames 94000, mean epr 1.25, run loss 0.11
time 00h 08m 04s, episodes 379, frames 95000, mean epr 1.23, run loss -0.08
time 00h 08m 10s, episodes 381, frames 96000, mean epr 1.26, run loss 0.52
time 00h 08m 15s, episodes 382, frames 97000, mean epr 1.27, run loss 0.73
time 00h 08m 20s, episodes 389, frames 98000, mean epr 1.33, run loss 0.36
time 00h 08m 25s, episodes 397, frames 99000, mean epr 1.34, run loss 0.09
time 00h 08m 30s, episodes 398, frames 100000, mean epr 1.33, run loss -0.07
time 00h 08m 35s, episodes 401, frames 101000, mean epr 1.38, run loss 0.26
time 00h 08m 40s, episodes 403, frames 102000, mean epr 1.36, run loss 0.04
time 00h 08m 45s, episodes 409, frames 103000, mean epr 1.34, run loss 0.16
time 00h 08m 50s, episodes 413, frames 104000, mean epr 1.35, run loss 0.69
time 00h 08m 55s, episodes 419, frames 105000, mean epr 1.36, run loss 0.75
time 00h 09m 01s, episodes 420, frames 106000, mean epr 1.38, run loss 1.10
time 00h 09m 06s, episodes 426, frames 107000, mean epr 1.36, run loss 0.64
time 00h 09m 11s, episodes 432, frames 108000, mean epr 1.34, run loss 0.56
time 00h 09m 16s, episodes 434, frames 109000, mean epr 1.33, run loss 0.68
time 00h 09m 21s, episodes 438, frames 110000, mean epr 1.31, run loss 0.50
time 00h 09m 26s, episodes 443, frames 111000, mean epr 1.34, run loss 0.88
time 00h 09m 30s, episodes 450, frames 112000, mean epr 1.31, run loss 0.36
time 00h 09m 36s, episodes 452, frames 113000, mean epr 1.31, run loss 0.39
