time, episodes, frames, mean-epr, run-loss
00h-24m-18s, 4594, 1200000, 2.11, -1.18
00h-24m-30s, 4630, 1210000, 2.07, -1.81
00h-24m-42s, 4665, 1220000, 2.19, -1.15
00h-24m-54s, 4700, 1230000, 2.16, -0.98
00h-25m-05s, 4745, 1240000, 1.80, -1.61
00h-25m-17s, 4782, 1250000, 1.76, -0.15
00h-25m-30s, 4814, 1260000, 1.96, 1.14
00h-25m-42s, 4846, 1270000, 2.03, -0.67
00h-25m-54s, 4883, 1280000, 2.02, -0.86
00h-26m-06s, 4913, 1290000, 2.13, -0.89
00h-26m-18s, 4953, 1300000, 2.17, -0.83
00h-26m-30s, 4985, 1310000, 2.04, -1.59
00h-26m-42s, 5018, 1320000, 2.12, -2.16
00h-26m-54s, 5053, 1330000, 2.25, -1.49
00h-27m-06s, 5088, 1340000, 2.21, -1.80
00h-27m-18s, 5122, 1350000, 2.26, -1.45
00h-27m-30s, 5157, 1360000, 2.28, -1.52
00h-27m-42s, 5190, 1370000, 2.25, -1.90
00h-27m-54s, 5224, 1380000, 2.24, -1.58
00h-28m-06s, 5257, 1390000, 2.16, -1.64
00h-28m-18s, 5294, 1400000, 2.20, -1.79
00h-28m-30s, 5331, 1410000, 2.09, -2.00
00h-28m-43s, 5362, 1420000, 2.19, -1.54
00h-28m-55s, 5397, 1430000, 2.19, -1.94
00h-29m-07s, 5429, 1440000, 2.11, -1.80
00h-29m-19s, 5465, 1450000, 2.17, -2.02
00h-29m-31s, 5503, 1460000, 2.21, -1.82
00h-29m-42s, 5531, 1470000, 2.18, -1.94
00h-29m-55s, 5566, 1480000, 2.29, -0.98
00h-30m-07s, 5600, 1490000, 2.23, -1.07
00h-30m-19s, 5637, 1500000, 2.26, -0.81
00h-30m-31s, 5669, 1510000, 2.27, -0.12
00h-30m-31s, 5669, 1510000, 2.27, -0.12
00h-30m-43s, 5706, 1520000, 2.33, -0.48
00h-30m-55s, 5738, 1530000, 2.45, -0.19
00h-31m-06s, 5768, 1540000, 2.57, -0.00
00h-31m-19s, 5801, 1550000, 2.61, -0.49
00h-31m-31s, 5834, 1560000, 2.63, -1.01
00h-31m-43s, 5870, 1570000, 2.57, -0.78
00h-31m-55s, 5901, 1580000, 2.50, -0.76
00h-32m-06s, 5933, 1590000, 2.61, -0.73
00h-32m-19s, 5965, 1600000, 2.76, -0.36
00h-32m-31s, 5999, 1610000, 2.79, -0.97
00h-32m-43s, 6028, 1620000, 2.78, -0.56
00h-32m-54s, 6066, 1630000, 2.69, -0.47
00h-33m-06s, 6099, 1640000, 2.65, -1.59
00h-33m-18s, 6131, 1650000, 2.65, -0.82
00h-33m-30s, 6163, 1660000, 2.75, -0.54
00h-33m-42s, 6190, 1670000, 2.84, -0.86
00h-33m-55s, 6219, 1680000, 2.88, -0.53
00h-34m-07s, 6254, 1690000, 2.98, -0.55
