time, episodes, frames, mean-epr, run-loss
03h-20m-05s, 19713, 13380000, 56.41, -7.80
03h-20m-18s, 19716, 13390000, 56.16, -7.85
03h-20m-31s, 19726, 13400000, 55.85, -8.25
03h-20m-43s, 19729, 13410000, 56.51, -8.00
03h-20m-55s, 19738, 13420000, 56.41, -8.78
03h-21m-07s, 19744, 13430000, 57.29, -6.17
03h-21m-20s, 19748, 13440000, 57.73, -6.11
03h-21m-32s, 19756, 13450000, 58.54, -5.98
03h-21m-45s, 19762, 13460000, 58.53, -5.86
03h-21m-57s, 19768, 13470000, 58.02, -6.94
03h-22m-09s, 19772, 13480000, 57.44, -7.43
03h-22m-22s, 19779, 13490000, 58.55, -6.89
03h-22m-35s, 19784, 13500000, 58.80, -5.57
03h-22m-47s, 19791, 13510000, 60.07, -6.69
03h-23m-00s, 19797, 13520000, 60.54, -8.09
03h-23m-13s, 19801, 13530000, 61.63, -6.57
03h-23m-26s, 19808, 13540000, 61.13, -7.48
03h-23m-38s, 19815, 13550000, 60.98, -8.16
03h-23m-50s, 19823, 13560000, 61.08, -7.95
03h-24m-03s, 19828, 13570000, 61.33, -7.60
03h-24m-16s, 19833, 13580000, 61.49, -7.32
03h-24m-29s, 19838, 13590000, 61.43, -8.11
03h-24m-40s, 19844, 13600000, 63.28, -5.61
03h-24m-52s, 19850, 13610000, 63.18, -5.57
03h-25m-05s, 19855, 13620000, 64.02, -5.78
03h-25m-18s, 19865, 13630000, 64.71, -5.21
03h-25m-29s, 19869, 13640000, 65.75, -2.82
03h-25m-42s, 19872, 13650000, 65.65, -2.91
03h-25m-55s, 19878, 13660000, 65.43, -3.47
03h-26m-08s, 19885, 13670000, 66.04, -3.90
03h-26m-19s, 19895, 13680000, 65.71, -5.34
03h-26m-31s, 19900, 13690000, 66.59, -5.42
03h-26m-43s, 19902, 13700000, 66.44, -5.70
03h-26m-56s, 19906, 13710000, 66.10, -5.11
03h-27m-09s, 19917, 13720000, 65.55, -6.55
03h-27m-21s, 19924, 13730000, 65.49, -6.19
03h-27m-34s, 19929, 13740000, 68.02, -3.04
03h-27m-47s, 19931, 13750000, 67.83, -3.20
03h-27m-58s, 19938, 13760000, 67.20, -3.85
03h-28m-11s, 19944, 13770000, 67.53, -4.08
03h-28m-23s, 19953, 13780000, 67.59, -4.49
03h-28m-37s, 19958, 13790000, 66.79, -5.00
03h-28m-49s, 19964, 13800000, 66.88, -5.96
03h-29m-02s, 19967, 13810000, 66.05, -5.81
03h-29m-14s, 19976, 13820000, 65.80, -6.08
03h-29m-27s, 19982, 13830000, 65.07, -6.35
03h-29m-40s, 19989, 13840000, 64.43, -7.00
03h-29m-52s, 19998, 13850000, 63.83, -4.64
03h-30m-05s, 20004, 13860000, 62.23, -5.64
03h-30m-17s, 20008, 13870000, 61.88, -5.52
03h-30m-30s, 20014, 13880000, 62.76, -4.67
03h-30m-42s, 20024, 13890000, 61.53, -5.74
03h-30m-55s, 20028, 13900000, 61.12, -6.19
03h-31m-07s, 20035, 13910000, 61.45, -5.81
03h-31m-20s, 20042, 13920000, 60.03, -5.69
03h-31m-32s, 20049, 13930000, 59.89, -5.78
03h-31m-45s, 20051, 13940000, 59.48, -6.03
03h-31m-57s, 20060, 13950000, 59.90, -6.03
03h-32m-10s, 20066, 13960000, 60.44, -6.09
03h-32m-23s, 20072, 13970000, 61.91, -3.26
03h-32m-36s, 20077, 13980000, 61.51, -3.27
03h-32m-48s, 20084, 13990000, 62.82, -1.25
03h-33m-00s, 20087, 14000000, 63.44, -1.46
03h-33m-14s, 20092, 14010000, 63.61, -1.49
03h-33m-26s, 20100, 14020000, 63.30, -3.35
03h-33m-38s, 20107, 14030000, 63.24, -3.69
03h-33m-50s, 20113, 14040000, 63.90, -4.54
03h-34m-04s, 20118, 14050000, 64.25, -4.41
03h-34m-17s, 20123, 14060000, 63.62, -5.30
03h-34m-28s, 20132, 14070000, 65.50, -2.38
03h-34m-40s, 20137, 14080000, 66.94, -0.04
03h-34m-53s, 20143, 14090000, 68.96, 4.16
03h-35m-05s, 20147, 14100000, 69.14, 3.39
03h-35m-19s, 20153, 14110000, 68.33, 1.76
03h-35m-30s, 20159, 14120000, 68.09, 0.37
03h-35m-43s, 20168, 14130000, 67.69, 0.83
03h-35m-43s, 20168, 14130000, 67.69, 0.83
03h-35m-55s, 20172, 14140000, 67.88, -0.47
03h-36m-07s, 20180, 14150000, 66.36, -2.26
03h-36m-20s, 20182, 14160000, 66.11, -2.43
03h-36m-32s, 20188, 14170000, 65.93, -1.91
03h-36m-45s, 20198, 14180000, 64.66, -3.20
03h-36m-57s, 20203, 14190000, 64.78, -3.16
03h-37m-10s, 20206, 14200000, 64.54, -3.67
03h-37m-22s, 20213, 14210000, 64.49, -4.22
03h-37m-35s, 20223, 14220000, 63.18, -5.07
03h-37m-47s, 20229, 14230000, 62.70, -4.70
03h-38m-00s, 20232, 14240000, 63.43, -4.70
03h-38m-12s, 20237, 14250000, 63.26, -4.91
03h-38m-24s, 20241, 14260000, 63.22, -5.65
03h-38m-38s, 20251, 14270000, 62.52, -5.92
03h-38m-49s, 20258, 14280000, 62.45, -6.81
03h-39m-02s, 20263, 14290000, 62.70, -6.72
03h-39m-14s, 20266, 14300000, 62.60, -6.73
03h-39m-27s, 20272, 14310000, 64.39, -3.42
03h-39m-38s, 20278, 14320000, 64.16, -4.04
03h-39m-51s, 20286, 14330000, 63.69, -6.04
03h-40m-04s, 20294, 14340000, 63.43, -7.03
03h-40m-15s, 20296, 14350000, 63.18, -6.98
03h-40m-29s, 20303, 14360000, 63.16, -7.20
03h-40m-40s, 20308, 14370000, 63.02, -7.03
03h-40m-53s, 20314, 14380000, 62.24, -8.09
03h-41m-06s, 20322, 14390000, 62.75, -8.23
03h-41m-19s, 20327, 14400000, 63.43, -7.79
03h-41m-31s, 20333, 14410000, 62.94, -6.91
03h-41m-43s, 20338, 14420000, 62.28, -6.84
03h-41m-55s, 20345, 14430000, 61.98, -6.97
03h-42m-09s, 20352, 14440000, 61.71, -7.28
03h-42m-21s, 20360, 14450000, 61.57, -7.11
03h-42m-33s, 20365, 14460000, 61.01, -8.81
03h-42m-46s, 20369, 14470000, 61.05, -9.48
03h-42m-57s, 20373, 14480000, 61.07, -9.54
03h-43m-11s, 20381, 14490000, 61.08, -8.48
03h-43m-22s, 20389, 14500000, 61.48, -7.93
03h-43m-33s, 20394, 14510000, 61.75, -8.26
03h-43m-48s, 20399, 14520000, 61.58, -8.03
03h-43m-58s, 20406, 14530000, 61.66, -6.84
03h-44m-12s, 20412, 14540000, 62.34, -5.62
03h-44m-22s, 20417, 14550000, 62.04, -7.06
03h-44m-34s, 20423, 14560000, 62.11, -6.94
03h-44m-47s, 20429, 14570000, 62.38, -6.55
03h-45m-00s, 20433, 14580000, 62.79, -7.07
03h-45m-11s, 20439, 14590000, 63.18, -7.28
03h-45m-23s, 20444, 14600000, 62.34, -7.92
03h-45m-35s, 20451, 14610000, 62.58, -7.82
03h-45m-48s, 20460, 14620000, 63.34, -7.13
03h-45m-59s, 20464, 14630000, 62.76, -7.79
03h-46m-11s, 20467, 14640000, 62.60, -7.18
03h-46m-24s, 20475, 14650000, 62.41, -8.72
03h-46m-35s, 20482, 14660000, 62.30, -8.07
03h-46m-48s, 20487, 14670000, 62.71, -7.32
03h-46m-59s, 20493, 14680000, 63.20, -7.30
03h-47m-11s, 20498, 14690000, 62.83, -7.32
03h-47m-23s, 20504, 14700000, 62.56, -7.68
03h-47m-35s, 20510, 14710000, 61.97, -8.04
03h-47m-47s, 20518, 14720000, 61.70, -8.79
03h-48m-00s, 20522, 14730000, 61.38, -9.10
03h-48m-12s, 20527, 14740000, 61.25, -9.22
03h-48m-25s, 20533, 14750000, 61.49, -9.51
03h-48m-37s, 20539, 14760000, 61.76, -10.21
03h-48m-49s, 20546, 14770000, 62.16, -9.90
03h-49m-01s, 20554, 14780000, 62.10, -9.30
03h-49m-14s, 20557, 14790000, 62.08, -9.66
03h-49m-25s, 20562, 14800000, 61.86, -9.33
03h-49m-37s, 20570, 14810000, 61.61, -9.55
03h-49m-49s, 20578, 14820000, 61.80, -9.06
03h-50m-02s, 20582, 14830000, 61.82, -9.10
03h-50m-13s, 20587, 14840000, 62.01, -9.43
03h-50m-25s, 20592, 14850000, 63.02, -7.47
03h-50m-38s, 20598, 14860000, 62.62, -6.94
03h-50m-50s, 20604, 14870000, 63.40, -6.99
03h-51m-02s, 20614, 14880000, 65.17, -5.06
03h-51m-14s, 20618, 14890000, 64.74, -5.51
03h-51m-26s, 20622, 14900000, 64.56, -5.99
03h-51m-37s, 20626, 14910000, 64.29, -6.45
03h-51m-38s, 20626, 14910000, 64.29, -6.45
03h-51m-50s, 20637, 14920000, 63.38, -7.24
03h-52m-01s, 20642, 14930000, 62.82, -8.29
03h-52m-14s, 20647, 14940000, 63.20, -7.95
03h-52m-25s, 20651, 14950000, 63.20, -7.58
03h-52m-38s, 20656, 14960000, 63.24, -7.95
03h-52m-50s, 20664, 14970000, 63.24, -7.86
03h-53m-01s, 20669, 14980000, 63.43, -8.41
03h-53m-14s, 20676, 14990000, 63.86, -8.32
03h-53m-13s, 20676, 14990000, 63.86, -8.32
03h-53m-26s, 20681, 15000000, 64.26, -8.80
03h-53m-38s, 20685, 15010000, 64.25, -8.88
03h-53m-51s, 20689, 15020000, 67.20, -2.79
03h-54m-02s, 20699, 15030000, 69.93, 1.32
03h-54m-15s, 20704, 15040000, 69.45, 0.63
03h-54m-26s, 20711, 15050000, 70.39, 2.24
03h-54m-39s, 20716, 15060000, 69.54, 0.55
03h-54m-51s, 20721, 15070000, 68.35, 0.53
03h-54m-51s, 20721, 15070000, 68.35, 0.53
03h-55m-04s, 20730, 15080000, 67.66, 0.11
03h-55m-15s, 20735, 15090000, 67.44, -0.75
03h-55m-28s, 20738, 15100000, 66.99, -1.54
03h-55m-39s, 20746, 15110000, 68.03, -0.64
03h-55m-51s, 20751, 15120000, 70.18, 4.49
03h-56m-04s, 20758, 15130000, 69.75, 3.27
03h-56m-16s, 20764, 15140000, 69.39, 3.11
03h-56m-30s, 20768, 15150000, 69.59, 2.50
03h-56m-41s, 20775, 15160000, 68.78, 1.51
03h-56m-53s, 20782, 15170000, 69.37, 2.13
03h-57m-05s, 20786, 15180000, 70.40, 3.41
03h-57m-17s, 20795, 15190000, 70.15, 2.57
03h-57m-30s, 20800, 15200000, 69.98, 2.24
03h-57m-41s, 20802, 15210000, 69.83, 1.79
03h-57m-54s, 20809, 15220000, 68.80, 0.29
03h-58m-07s, 20814, 15230000, 68.86, -0.47
03h-58m-18s, 20820, 15240000, 68.61, -0.58
03h-58m-31s, 20828, 15250000, 67.90, -2.68
03h-58m-42s, 20835, 15260000, 68.00, -2.41
03h-58m-55s, 20838, 15270000, 67.72, -2.81
03h-59m-07s, 20844, 15280000, 66.84, -3.63
03h-59m-20s, 20850, 15290000, 66.57, -4.51
03h-59m-32s, 20855, 15300000, 66.15, -4.94
03h-59m-43s, 20863, 15310000, 66.85, -4.13
03h-59m-57s, 20870, 15320000, 66.31, -5.54
04h-00m-08s, 20875, 15330000, 65.54, -5.83
04h-00m-20s, 20878, 15340000, 65.38, -5.54
04h-00m-32s, 20885, 15350000, 65.60, -4.43
04h-00m-45s, 20890, 15360000, 66.03, -2.67
04h-00m-57s, 20898, 15370000, 67.78, 0.50
04h-01m-08s, 20903, 15380000, 67.45, -0.39
04h-01m-21s, 20908, 15390000, 67.99, -1.07
04h-01m-33s, 20916, 15400000, 66.89, -2.86
04h-01m-46s, 20919, 15410000, 67.05, -3.11
04h-01m-57s, 20926, 15420000, 66.95, -3.01
04h-02m-09s, 20933, 15430000, 67.24, -3.11
04h-02m-21s, 20937, 15440000, 66.70, -4.32
04h-02m-33s, 20945, 15450000, 69.04, 0.39
04h-02m-46s, 20949, 15460000, 68.68, -0.87
04h-02m-59s, 20955, 15470000, 68.59, -0.97
04h-03m-09s, 20960, 15480000, 68.18, -1.52
04h-03m-22s, 20967, 15490000, 68.32, -2.09
04h-03m-34s, 20974, 15500000, 67.86, -2.82
04h-03m-47s, 20980, 15510000, 67.04, -3.50
04h-03m-59s, 20983, 15520000, 66.91, -3.76
04h-04m-10s, 20992, 15530000, 67.12, -2.73
04h-04m-23s, 20998, 15540000, 66.38, -3.70
04h-04m-36s, 21004, 15550000, 65.77, -3.67
04h-05m-00s, 21017, 15570000, 65.37, -5.83
04h-05m-12s, 21021, 15580000, 64.98, -5.97
04h-05m-24s, 21026, 15590000, 65.10, -5.85
04h-05m-37s, 21030, 15600000, 65.31, -5.98
04h-05m-48s, 21039, 15610000, 65.92, -6.31
04h-06m-00s, 21046, 15620000, 65.63, -6.07
04h-06m-13s, 21052, 15630000, 65.51, -6.95
04h-06m-27s, 21056, 15640000, 65.22, -6.99
04h-06m-39s, 21058, 15650000, 64.74, -7.73
04h-06m-51s, 21071, 15660000, 65.46, -6.04
04h-07m-02s, 21078, 15670000, 67.09, -0.75
04h-07m-14s, 21082, 15680000, 67.11, -1.09
04h-07m-27s, 21086, 15690000, 67.17, -1.49
04h-07m-39s, 21095, 15700000, 65.65, -1.89
04h-07m-51s, 21102, 15710000, 65.57, -1.66
04h-08m-03s, 21108, 15720000, 66.27, -1.21
04h-08m-14s, 21112, 15730000, 65.76, -1.84
04h-08m-27s, 21115, 15740000, 65.81, -1.89
04h-08m-39s, 21122, 15750000, 65.61, -3.88
04h-08m-51s, 21130, 15760000, 66.84, -1.26
04h-09m-03s, 21138, 15770000, 66.43, -2.16
04h-09m-16s, 21143, 15780000, 66.46, -2.89
04h-09m-27s, 21146, 15790000, 66.06, -2.94
04h-09m-28s, 21146, 15790000, 66.06, -2.94
04h-09m-40s, 21148, 15800000, 66.07, -3.05
04h-09m-52s, 21159, 15810000, 64.81, -4.79
04h-10m-04s, 21170, 15820000, 66.34, -1.71
04h-10m-16s, 21172, 15830000, 66.69, -1.50
04h-10m-28s, 21175, 15840000, 66.62, -2.36
04h-10m-39s, 21182, 15850000, 65.68, -1.62
04h-10m-52s, 21188, 15860000, 65.39, -3.30
04h-11m-04s, 21196, 15870000, 65.20, -3.95
04h-11m-16s, 21200, 15880000, 65.51, -3.46
04h-11m-28s, 21209, 15890000, 66.69, -2.76
04h-11m-40s, 21212, 15900000, 66.53, -3.09
04h-11m-52s, 21221, 15910000, 68.99, 1.89
04h-12m-04s, 21225, 15920000, 68.52, 1.10
04h-12m-17s, 21233, 15930000, 67.27, 1.06
04h-12m-28s, 21239, 15940000, 66.86, -0.13
04h-12m-40s, 21244, 15950000, 66.04, -0.26
04h-12m-53s, 21249, 15960000, 65.49, -1.17
04h-13m-05s, 21256, 15970000, 65.33, -2.02
04h-13m-17s, 21264, 15980000, 64.65, -0.88
04h-13m-29s, 21268, 15990000, 64.50, -1.75
04h-13m-41s, 21277, 16000000, 65.36, -1.36
04h-13m-53s, 21283, 16010000, 64.35, -1.89
04h-14m-06s, 21287, 16020000, 65.81, 1.32
04h-14m-18s, 21294, 16030000, 64.63, -0.26
04h-14m-31s, 21300, 16040000, 65.99, 0.25
04h-14m-42s, 21303, 16050000, 65.21, -0.08
04h-14m-55s, 21314, 16060000, 65.86, -1.84
04h-15m-07s, 21318, 16070000, 65.15, -2.48
04h-15m-18s, 21326, 16080000, 66.15, -1.08
04h-15m-31s, 21330, 16090000, 66.13, -0.61
04h-15m-44s, 21338, 16100000, 67.09, 1.07
04h-15m-56s, 21342, 16110000, 66.56, 0.66
04h-16m-08s, 21348, 16120000, 67.81, 0.69
04h-16m-20s, 21353, 16130000, 67.88, -0.27
04h-16m-32s, 21355, 16140000, 68.15, -0.41
04h-16m-43s, 21363, 16150000, 67.86, -1.47
04h-16m-56s, 21374, 16160000, 68.79, -2.08
04h-17m-08s, 21378, 16170000, 68.69, -2.60
04h-17m-33s, 21387, 16190000, 68.98, -2.18
04h-17m-44s, 21393, 16200000, 68.06, -3.49
04h-17m-58s, 21401, 16210000, 67.94, -3.51
04h-18m-08s, 21408, 16220000, 68.69, -2.85
04h-18m-21s, 21412, 16230000, 68.19, -2.66
04h-18m-35s, 21415, 16240000, 67.73, -3.09
04h-18m-46s, 21422, 16250000, 68.42, -2.22
04h-18m-57s, 21430, 16260000, 69.67, -0.40
04h-19m-10s, 21437, 16270000, 70.53, 1.24
04h-19m-22s, 21442, 16280000, 70.04, 0.72
04h-19m-34s, 21446, 16290000, 69.45, -0.25
04h-19m-46s, 21453, 16300000, 70.90, 2.94
04h-19m-59s, 21461, 16310000, 70.84, 2.42
04h-20m-11s, 21465, 16320000, 70.91, 1.39
04h-20m-23s, 21468, 16330000, 70.18, 0.50
04h-20m-35s, 21476, 16340000, 70.36, -0.28
04h-20m-48s, 21482, 16350000, 70.39, 0.05
04h-21m-00s, 21490, 16360000, 71.09, 1.91
04h-21m-11s, 21493, 16370000, 70.68, 1.66
04h-21m-24s, 21503, 16380000, 69.90, 0.04
04h-21m-36s, 21507, 16390000, 69.79, -0.11
04h-21m-50s, 21511, 16400000, 69.26, -0.96
04h-22m-00s, 21515, 16410000, 69.50, -1.29
04h-22m-12s, 21524, 16420000, 71.13, 1.21
04h-22m-26s, 21532, 16430000, 71.52, 2.11
04h-22m-37s, 21537, 16440000, 70.86, 1.00
04h-22m-49s, 21544, 16450000, 70.25, 0.77
04h-23m-02s, 21548, 16460000, 69.63, -0.27
04h-23m-13s, 21556, 16470000, 68.79, -0.68
04h-23m-26s, 21563, 16480000, 68.57, -0.62
04h-23m-38s, 21567, 16490000, 68.77, -0.00
04h-23m-51s, 21573, 16500000, 68.84, -1.14
04h-24m-02s, 21580, 16510000, 68.82, 0.01
04h-24m-14s, 21585, 16520000, 68.49, -0.17
04h-24m-26s, 21592, 16530000, 69.07, -0.14
04h-24m-39s, 21595, 16540000, 69.15, -0.66
04h-24m-51s, 21603, 16550000, 68.80, -1.90
04h-25m-03s, 21609, 16560000, 67.70, -3.28
04h-25m-16s, 21618, 16570000, 67.56, -4.13
04h-25m-29s, 21622, 16580000, 67.30, -4.57
04h-25m-40s, 21626, 16590000, 66.68, -4.92
04h-25m-52s, 21631, 16600000, 66.02, -5.93
04h-26m-05s, 21643, 16610000, 65.25, -6.22
04h-26m-16s, 21649, 16620000, 65.98, -4.94
04h-26m-28s, 21652, 16630000, 65.44, -5.33
04h-26m-42s, 21657, 16640000, 65.44, -5.70
04h-26m-53s, 21666, 16650000, 66.12, -5.30
04h-27m-05s, 21672, 16660000, 66.32, -4.32
04h-27m-17s, 21678, 16670000, 66.63, -4.76
04h-27m-30s, 21682, 16680000, 67.22, -4.03
04h-27m-43s, 21685, 16690000, 67.64, -3.09
04h-27m-55s, 21695, 16700000, 66.89, -5.04
04h-27m-54s, 21695, 16700000, 66.89, -5.04
04h-28m-06s, 21697, 16710000, 69.02, -1.09
04h-28m-19s, 21706, 16720000, 68.99, -1.90
04h-28m-30s, 21711, 16730000, 68.76, -3.16
04h-28m-43s, 21715, 16740000, 68.72, -3.06
04h-28m-54s, 21723, 16750000, 70.69, -0.99
04h-29m-06s, 21725, 16760000, 70.56, -1.43
04h-29m-18s, 21731, 16770000, 70.65, -1.07
04h-29m-32s, 21737, 16780000, 70.94, -0.87
04h-29m-43s, 21744, 16790000, 71.52, -1.25
04h-29m-55s, 21752, 16800000, 70.11, -2.72
04h-30m-09s, 21755, 16810000, 70.21, -3.84
04h-30m-20s, 21759, 16820000, 69.93, -2.72
04h-30m-33s, 21766, 16830000, 69.24, -4.57
04h-30m-44s, 21771, 16840000, 69.23, -3.88
04h-30m-56s, 21781, 16850000, 69.15, -5.25
04h-31m-09s, 21787, 16860000, 69.00, -5.24
04h-31m-21s, 21790, 16870000, 68.60, -5.04
04h-31m-33s, 21796, 16880000, 69.11, -3.13
04h-31m-45s, 21802, 16890000, 68.33, -4.12
04h-31m-57s, 21809, 16900000, 68.34, -4.67
04h-32m-10s, 21818, 16910000, 68.48, -4.47
04h-32m-21s, 21822, 16920000, 67.96, -4.76
04h-32m-45s, 21827, 16940000, 67.65, -6.14
04h-32m-59s, 21837, 16950000, 68.04, -6.84
04h-33m-09s, 21841, 16960000, 67.98, -7.48
04h-33m-21s, 21849, 16970000, 69.64, -6.23
04h-33m-34s, 21853, 16980000, 69.88, -6.88
04h-33m-46s, 21857, 16990000, 71.16, -4.00
04h-33m-58s, 21865, 17000000, 71.22, -4.14
04h-34m-10s, 21873, 17010000, 70.96, -5.31
04h-34m-22s, 21876, 17020000, 70.79, -6.14
04h-34m-34s, 21883, 17030000, 70.86, -6.88
04h-34m-47s, 21888, 17040000, 70.29, -6.53
04h-35m-00s, 21894, 17050000, 71.90, -1.52
04h-35m-10s, 21897, 17060000, 71.70, -1.90
04h-35m-23s, 21905, 17070000, 71.13, -2.86
04h-35m-36s, 21909, 17080000, 71.03, -3.52
04h-35m-47s, 21917, 17090000, 71.74, -3.06
04h-36m-00s, 21923, 17100000, 71.75, -1.55
04h-36m-12s, 21929, 17110000, 72.13, -1.89
04h-36m-25s, 21933, 17120000, 72.19, -2.69
04h-36m-36s, 21938, 17130000, 71.83, -3.33
04h-36m-49s, 21946, 17140000, 71.44, -3.85
04h-37m-02s, 21953, 17150000, 71.94, -4.47
04h-37m-13s, 21957, 17160000, 71.99, -4.55
04h-37m-25s, 21963, 17170000, 73.49, -1.37
04h-37m-37s, 21968, 17180000, 72.72, -3.15
04h-37m-49s, 21973, 17190000, 74.96, 0.09
04h-38m-01s, 21978, 17200000, 74.54, -0.62
04h-38m-14s, 21985, 17210000, 75.81, -0.66
04h-38m-26s, 21990, 17220000, 75.58, -0.38
04h-38m-38s, 21999, 17230000, 75.27, -1.43
04h-38m-51s, 22002, 17240000, 75.47, -2.18
04h-39m-03s, 22006, 17250000, 75.28, -1.84
04h-39m-15s, 22012, 17260000, 74.88, -3.12
04h-39m-27s, 22018, 17270000, 76.13, -2.24
04h-39m-41s, 22028, 17280000, 77.63, -0.01
04h-39m-52s, 22031, 17290000, 77.22, -1.09
04h-40m-04s, 22036, 17300000, 76.38, -1.32
04h-40m-16s, 22040, 17310000, 76.19, -1.60
04h-40m-29s, 22047, 17320000, 75.87, -2.41
04h-40m-41s, 22055, 17330000, 76.18, -0.93
04h-40m-55s, 22059, 17340000, 75.66, -1.46
04h-41m-06s, 22063, 17350000, 76.09, -2.69
04h-41m-18s, 22069, 17360000, 76.92, -0.40
04h-41m-31s, 22077, 17370000, 76.28, 0.03
04h-41m-43s, 22082, 17380000, 76.62, 0.20
04h-41m-56s, 22087, 17390000, 76.16, -1.21
04h-42m-09s, 22090, 17400000, 76.63, -0.40
04h-42m-07s, 22090, 17400000, 76.63, -0.40
04h-42m-19s, 22095, 17410000, 77.08, 0.56
04h-42m-32s, 22103, 17420000, 76.13, -2.22
04h-42m-45s, 22112, 17430000, 75.27, -2.53
04h-42m-56s, 22119, 17440000, 75.02, -2.04
04h-43m-09s, 22124, 17450000, 74.03, -2.06
04h-43m-22s, 22128, 17460000, 73.29, -3.05
04h-43m-33s, 22135, 17470000, 71.72, -4.42
04h-43m-33s, 22135, 17470000, 71.72, -4.42
04h-43m-46s, 22141, 17480000, 70.07, -5.43
04h-43m-58s, 22148, 17490000, 71.60, -2.75
04h-44m-09s, 22154, 17500000, 74.15, 1.78
04h-44m-22s, 22160, 17510000, 73.57, 2.09
04h-44m-22s, 22160, 17510000, 73.57, 2.09
04h-44m-35s, 22168, 17520000, 71.39, 0.67
04h-44m-47s, 22174, 17530000, 72.45, 2.60
04h-44m-58s, 22179, 17540000, 72.08, 3.10
04h-45m-10s, 22186, 17550000, 72.15, 3.05
04h-45m-23s, 22190, 17560000, 73.34, 6.39
04h-45m-36s, 22197, 17570000, 72.68, 5.26
04h-45m-47s, 22204, 17580000, 73.80, 6.96
04h-46m-00s, 22209, 17590000, 73.82, 5.84
04h-46m-13s, 22214, 17600000, 73.43, 4.50
04h-46m-25s, 22219, 17610000, 73.41, 3.92
04h-46m-37s, 22226, 17620000, 74.37, 5.74
04h-46m-37s, 22226, 17620000, 74.37, 5.74
04h-46m-49s, 22232, 17630000, 74.35, 5.39
04h-47m-03s, 22238, 17640000, 74.29, 5.14
04h-47m-14s, 22246, 17650000, 74.00, 5.25
04h-47m-26s, 22248, 17660000, 73.77, 4.47
04h-47m-38s, 22256, 17670000, 73.55, 3.33
04h-47m-51s, 22261, 17680000, 73.59, 2.75
04h-48m-04s, 22266, 17690000, 73.95, 2.61
04h-48m-16s, 22272, 17700000, 73.07, 1.29
04h-48m-28s, 22278, 17710000, 72.61, 0.35
04h-48m-41s, 22283, 17720000, 73.14, -0.09
04h-48m-53s, 22288, 17730000, 72.74, -0.13
04h-49m-05s, 22294, 17740000, 73.45, 2.14
04h-49m-18s, 22303, 17750000, 73.09, 1.10
04h-49m-30s, 22305, 17760000, 73.30, 0.90
04h-49m-42s, 22310, 17770000, 73.36, 0.81
04h-49m-54s, 22316, 17780000, 73.17, 0.08
04h-50m-06s, 22323, 17790000, 73.63, 0.26
04h-50m-18s, 22328, 17800000, 73.36, -0.66
04h-50m-31s, 22336, 17810000, 74.15, 0.96
04h-50m-44s, 22339, 17820000, 73.74, 0.58
04h-50m-56s, 22345, 17830000, 73.15, 0.65
04h-51m-08s, 22352, 17840000, 72.16, -0.31
04h-51m-22s, 22360, 17850000, 72.35, -1.61
04h-51m-33s, 22365, 17860000, 71.97, -1.59
04h-51m-45s, 22373, 17870000, 70.19, -3.26
04h-51m-57s, 22374, 17880000, 70.84, -2.22
04h-52m-10s, 22380, 17890000, 72.87, 1.65
04h-52m-21s, 22388, 17900000, 73.78, 2.09
04h-52m-34s, 22397, 17910000, 73.14, 0.41
04h-52m-47s, 22401, 17920000, 72.89, 0.41
04h-52m-58s, 22406, 17930000, 72.05, -0.29
04h-53m-10s, 22409, 17940000, 71.56, -1.31
04h-53m-23s, 22415, 17950000, 70.68, -2.52
04h-53m-35s, 22423, 17960000, 72.69, -0.49
04h-53m-47s, 22429, 17970000, 72.64, -0.40
04h-54m-00s, 22431, 17980000, 72.94, -0.40
04h-54m-12s, 22439, 17990000, 73.65, 0.86
04h-54m-24s, 22444, 18000000, 75.63, 4.88
04h-54m-36s, 22450, 18010000, 75.46, 4.60
04h-54m-48s, 22457, 18020000, 75.11, 2.88
04h-55m-00s, 22467, 18030000, 75.29, 4.48
04h-55m-12s, 22470, 18040000, 76.83, 7.31
04h-55m-24s, 22474, 18050000, 76.59, 6.89
04h-55m-37s, 22479, 18060000, 76.60, 4.48
04h-55m-49s, 22486, 18070000, 75.72, 2.73
04h-56m-01s, 22492, 18080000, 75.40, 2.40
04h-56m-14s, 22499, 18090000, 76.35, 3.16
04h-56m-26s, 22503, 18100000, 76.24, 2.94
04h-56m-39s, 22507, 18110000, 75.73, 3.04
04h-56m-51s, 22513, 18120000, 76.10, 2.49
04h-57m-04s, 22524, 18130000, 75.93, 3.01
04h-57m-15s, 22527, 18140000, 76.03, 2.63
04h-57m-28s, 22530, 18150000, 75.61, 1.35
04h-57m-40s, 22537, 18160000, 75.98, 2.06
04h-57m-52s, 22544, 18170000, 76.46, 1.76
04h-58m-04s, 22549, 18180000, 77.18, 3.46
04h-58m-05s, 22549, 18180000, 77.18, 3.46
04h-58m-16s, 22558, 18190000, 76.63, 2.05
04h-58m-29s, 22562, 18200000, 75.93, 2.40
04h-58m-41s, 22567, 18210000, 75.65, 1.48
04h-58m-53s, 22568, 18220000, 75.95, 1.87
04h-59m-05s, 22578, 18230000, 76.75, 0.87
04h-59m-18s, 22585, 18240000, 76.30, 0.32
04h-59m-30s, 22588, 18250000, 77.14, -0.49
04h-59m-42s, 22592, 18260000, 77.13, -1.35
04h-59m-54s, 22596, 18270000, 77.61, -1.31
05h-00m-07s, 22603, 18280000, 77.12, -1.66
